USPS,GEOID,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,ALBERS_X,ALBERS_Y
ID,16005,00395091,Bannock County,82839,33191,2880035137,91800788,    1111.988,      35.444,-1319098.0486,-7607108
ID,16007,00395090,Bear Lake County,5986,3914,2524680722,193273897,     974.785,      74.623,-1254239.8708,-7664238
ID,16009,00395190,Benewah County,9285,4629,2011429331,18988295,     776.617,       7.331,-1561117.9500,-7046003
ID,16011,00400593,Bingham County,45607,16141,5423378296,68447717,    2093.978,      26.428,-1322616.5245,-7547081
ID,16013,00395696,Blaine County,21376,15050,6846856430,44340529,    2643.586,      17.120,-1442240.2487,-7504867
ID,16015,00395157,Boise County,7028,5292,4919000288,19293275,    1899.237,       7.449,-1567250.2394,-7412112
ID,16017,00395158,Bonner County,40877,24669,4492523343,478955717,    1734.573,     184.926,-1532328.7738,-6928698
ID,16019,00395407,Bonneville County,104234,39731,4833116989,89506629,    1866.077,      34.559,-1257559.6663,-7537935
ID,16021,00395159,Boundary County,10972,5175,3285556291,24081041,    1268.560,       9.298,-1516150.8618,-6880374
ID,16023,00401703,Butte County,2891,1354,5779990424,5257716,    2231.667,       2.030,-1374921.0326,-7484487
ID,16025,00399408,Camas County,1117,831,2782925142,11535370,    1074.493,       4.454,-1507711.0961,-7484135
ID,16027,00399406,Canyon County,188923,69409,1521281478,41900334,     587.370,      16.178,-1653463.8989,-7435020
ID,16029,00395406,Caribou County,6963,3226,4569116224,89170677,    1764.146,      34.429,-1262543.2851,-7606115
ID,16031,00395698,Cassia County,22952,8372,6643528786,39370982,    2565.081,      15.201,-1437504.3592,-7631669
ID,16033,00399755,Clark County,982,531,4569218695,2476848,    1764.185,       0.956,-1299018.2279,-7429934
ID,16035,00395697,Clearwater County,8761,4453,6364309391,79544779,    2457.274,      30.712,-1500844.2622,-7120857
ID,16037,00399758,Custer County,4368,3103,12745176171,42386557,    4920.940,      16.366,-1446864.7356,-7404031
ID,16039,00400252,Elmore County,27038,12162,7963533304,67384705,    3074.738,      26.017,-1561708.4127,-7480880
ID,16041,00395585,Franklin County,12786,4528,1718831658,12169099,     663.645,       4.699,-1296274.2094,-7669985
ID,16043,00395408,Fremont County,13242,8531,4826508353,83291796,    1863.525,      32.159,-1231669.7137,-7449101
ID,16045,00395442,Gem County,16719,7099,1452724628,12445495,     560.900,       4.805,-1618755.4029,-7392558
ID,16047,00395441,Gooding County,15464,6093,1888031360,12289863,     728.973,       4.745,-1519879.4731,-7537576
ID,16049,00395699,Idaho County,16267,8744,21956239945,67335736,    8477.352,      25.998,-1505560.4567,-7213201
ID,16051,00399751,Jefferson County,26140,8722,2832154816,31267656,    1093.501,      12.073,-1305072.4960,-7484303
ID,16053,00395662,Jerome County,22374,8101,1546700901,12864129,     597.185,       4.967,-1481620.8542,-7577332
ID,16055,00395661,Kootenai County,138494,63177,3222267856,185180068,    1244.125,      71.498,-1554671.9343,-6995516
ID,16057,00395613,Latah County,37244,15988,2786815890,2372731,    1075.996,       0.916,-1577949.4759,-7087560
ID,16059,00399754,Lemhi County,7936,4729,11819118494,13894478,    4563.387,       5.365,-1404731.0317,-7337778
ID,16061,00395622,Lewis County,3821,1880,1240073685,2444478,     478.795,       0.944,-1568862.8562,-7155708
ID,16063,00395624,Lincoln County,5208,1976,3111625420,11608239,    1201.405,       4.482,-1466626.4134,-7546638
ID,16065,00394803,Madison County,37536,11280,1215237613,10412190,     469.206,       4.020,-1253041.9981,-7494011
ID,16067,00394807,Minidoka County,20069,7665,1962152486,13820933,     757.591,       5.336,-1428481.9935,-7568660
ID,16069,00399394,Nez Perce County,39265,17438,2196547487,21212976,     848.092,       8.190,-1591883.5388,-7139547
ID,16071,00399759,Oneida County,4286,1906,3108143349,3995379,    1200.061,       1.543,-1352327.0990,-7659130
